mun_mic_mes,Municipio_ID
"Conceição do TocantinsDianópolisOriental do Tocantins",352
"Couto MagalhãesMiracema do TocantinsOcidental do Tocantins",353
"CristalândiaRio FormosoOcidental do Tocantins",354
"Crixás do TocantinsGurupiOcidental do Tocantins",355
"DarcinópolisBico do PapagaioOcidental do Tocantins",356
"DianópolisDianópolisOriental do Tocantins",357
"Divinópolis do TocantinsMiracema do TocantinsOcidental do Tocantins",358
"Dois Irmãos do TocantinsMiracema do TocantinsOcidental do Tocantins",359
"DueréRio FormosoOcidental do Tocantins",360
"EsperantinaBico do PapagaioOcidental do Tocantins",361
"FátimaRio FormosoOcidental do Tocantins",362
"FigueirópolisGurupiOcidental do Tocantins",363
"FiladélfiaAraguaínaOcidental do Tocantins",364
"Formoso do AraguaiaRio FormosoOcidental do Tocantins",365
"GoianorteMiracema do TocantinsOcidental do Tocantins",366
"GoiatinsJalapãoOriental do Tocantins",367
"GuaraíMiracema do TocantinsOcidental do Tocantins",368
"GurupiGurupiOcidental do Tocantins",369
"IpueirasPorto NacionalOriental do Tocantins",370
"ItacajáJalapãoOriental do Tocantins",371
"ItaguatinsBico do PapagaioOcidental do Tocantins",372
"ItapiratinsJalapãoOriental do Tocantins",373
"Itaporã do TocantinsMiracema do TocantinsOcidental do Tocantins",374
"Jaú do TocantinsGurupiOcidental do Tocantins",375
"JuarinaMiracema do TocantinsOcidental do Tocantins",376
"Lagoa da ConfusãoRio FormosoOcidental do Tocantins",377
"Lagoa do TocantinsJalapãoOriental do Tocantins",378
"LajeadoPorto NacionalOriental do Tocantins",379
"LavandeiraDianópolisOriental do Tocantins",380
"LizardaJalapãoOriental do Tocantins",381
"LuzinópolisBico do PapagaioOcidental do Tocantins",382
"Marianópolis do TocantinsMiracema do TocantinsOcidental do Tocantins",383
"MateirosJalapãoOriental do Tocantins",384
"Maurilândia do TocantinsBico do PapagaioOcidental do Tocantins",385
"Miracema do TocantinsMiracema do TocantinsOcidental do Tocantins",386
"MiranorteMiracema do TocantinsOcidental do Tocantins",387
"Monte do CarmoPorto NacionalOriental do Tocantins",388
