Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
2817,Pedra Dourada (MG),Pedra Dourada,277,Muriaé,Zona da Mata,MG,Pedra DouradaMuriaéZona da Mata
2818,Pedralva (MG),Pedralva,306,Santa Rita do Sapucaí,Sul/Sudoeste de Minas,MG,PedralvaSanta Rita do SapucaíSul/Sudoeste de Minas
2819,Pedras de Maria da Cruz (MG),Pedras de Maria da Cruz,299,Januária,Norte de Minas,MG,Pedras de Maria da CruzJanuáriaNorte de Minas
2820,Pedrinópolis (MG),Pedrinópolis,284,Araxá,Triângulo Mineiro/Alto Paranaíba,MG,PedrinópolisAraxáTriângulo Mineiro/Alto Paranaíba
2821,Pedro Leopoldo (MG),Pedro Leopoldo,292,Belo Horizonte,Metropolitana de Belo Horizonte,MG,Pedro LeopoldoBelo HorizonteMetropolitana de Belo Horizonte
2822,Pedro Teixeira (MG),Pedro Teixeira,279,Juiz de Fora,Zona da Mata,MG,Pedro TeixeiraJuiz de ForaZona da Mata
2823,Pequeri (MG),Pequeri,279,Juiz de Fora,Zona da Mata,MG,PequeriJuiz de ForaZona da Mata
2824,Pequi (MG),Pequi,278,Sete Lagoas,Metropolitana de Belo Horizonte,MG,PequiSete LagoasMetropolitana de Belo Horizonte
2825,Perdigão (MG),Perdigão,310,Divinópolis,Oeste de Minas,MG,PerdigãoDivinópolisOeste de Minas
2826,Perdizes (MG),Perdizes,284,Araxá,Triângulo Mineiro/Alto Paranaíba,MG,PerdizesAraxáTriângulo Mineiro/Alto Paranaíba
2827,Perdões (MG),Perdões,260,Campo Belo,Oeste de Minas,MG,PerdõesCampo BeloOeste de Minas
2828,Periquito (MG),Periquito,257,Ipatinga,Vale do Rio Doce,MG,PeriquitoIpatingaVale do Rio Doce
2829,Pescador (MG),Pescador,271,Governador Valadares,Vale do Rio Doce,MG,PescadorGovernador ValadaresVale do Rio Doce
2830,Piau (MG),Piau,279,Juiz de Fora,Zona da Mata,MG,PiauJuiz de ForaZona da Mata
2831,Piedade de Caratinga (MG),Piedade de Caratinga,296,Caratinga,Vale do Rio Doce,MG,Piedade de CaratingaCaratingaVale do Rio Doce
2832,Piedade de Ponte Nova (MG),Piedade de Ponte Nova,256,Ponte Nova,Zona da Mata,MG,Piedade de Ponte NovaPonte NovaZona da Mata
2833,Piedade do Rio Grande (MG),Piedade do Rio Grande,315,São João Del Rei,Campo das Vertentes,MG,Piedade do Rio GrandeSão João Del ReiCampo das Vertentes
2834,Piedade dos Gerais (MG),Piedade dos Gerais,293,Itaguara,Metropolitana de Belo Horizonte,MG,Piedade dos GeraisItaguaraMetropolitana de Belo Horizonte
